technology,scenario,year,locs,unit,flow_out_winter_peak
electrolysis,climate_neutrality,2050,EST,twh,0.016689961811521124
electrolysis,climate_neutrality,2050,FIN,twh,2.8834555097086385e-05
electrolysis,climate_neutrality,2050,FRA,twh,0.0047982081346295245
electrolysis,climate_neutrality,2050,GBR,twh,0.24229033637891292
electrolysis,climate_neutrality,2050,GRC,twh,3.7799138181853386e-05
electrolysis,climate_neutrality,2050,HRV,twh,1.4964656016381065e-05
electrolysis,climate_neutrality,2050,HUN,twh,3.631511268573328e-05
electrolysis,climate_neutrality,2050,IRL,twh,0.09065280850197883
electrolysis,climate_neutrality,2050,ITA,twh,0.011446386651456152
electrolysis,climate_neutrality,2050,LTU,twh,1.0895468155369556e-05
electrolysis,climate_neutrality,2050,LUX,twh,6.621300359464404e-06
electrolysis,climate_neutrality,2050,LVA,twh,1.9458779212826017e-05
electrolysis,climate_neutrality,2050,NLD,twh,2.249969119591976e-05
electrolysis,climate_neutrality,2050,POL,twh,0.00010902603995571079
electrolysis,climate_neutrality,2050,PRT,twh,0.11335104949964481
electrolysis,climate_neutrality,2050,ROU,twh,0.04256261942523374
electrolysis,climate_neutrality,2050,SVK,twh,2.4003818182648975e-05
electrolysis,climate_neutrality,2050,SVN,twh,1.1280698573440775e-05
electrolysis,climate_neutrality,2050,SWE,twh,0.009425857554542364
hydrogen_to_methane,climate_neutrality,2050,AUT,twh,0.0005215409913160612
hydrogen_to_methane,climate_neutrality,2050,BEL,twh,7.277637232632944e-05
hydrogen_to_methane,climate_neutrality,2050,BGR,twh,1.1980499545375523e-05
hydrogen_to_methane,climate_neutrality,2050,CYP,twh,0.0014199932720485573
hydrogen_to_methane,climate_neutrality,2050,CZE,twh,0.0005103240256824802
hydrogen_to_methane,climate_neutrality,2050,DEU,twh,0.001904899664395058
hydrogen_to_methane,climate_neutrality,2050,DNK,twh,0.05286640965310015
hydrogen_to_methane,climate_neutrality,2050,ESP,twh,0.0004376898533445258
hydrogen_to_methane,climate_neutrality,2050,EST,twh,0.0029508439385408742
hydrogen_to_methane,climate_neutrality,2050,FIN,twh,1.525443867788726e-05
hydrogen_to_methane,climate_neutrality,2050,FRA,twh,0.0002035583687441812
hydrogen_to_methane,climate_neutrality,2050,GBR,twh,0.047651579318804545
hydrogen_to_methane,climate_neutrality,2050,GRC,twh,2.141934972171663e-05
hydrogen_to_methane,climate_neutrality,2050,HRV,twh,9.67602144778029e-06
hydrogen_to_methane,climate_neutrality,2050,HUN,twh,2.987683136404298e-05
hydrogen_to_methane,climate_neutrality,2050,IRL,twh,0.038515061967935
hydrogen_to_methane,climate_neutrality,2050,ITA,twh,0.0022262397141976503
hydrogen_to_methane,climate_neutrality,2050,LTU,twh,7.454256336603528e-06
hydrogen_to_methane,climate_neutrality,2050,LUX,twh,5.293590382025024e-06
hydrogen_to_methane,climate_neutrality,2050,LVA,twh,8.282531379331382e-06
hydrogen_to_methane,climate_neutrality,2050,NLD,twh,1.9785440386473214e-05
hydrogen_to_methane,climate_neutrality,2050,POL,twh,7.379125210581143e-05
hydrogen_to_methane,climate_neutrality,2050,PRT,twh,0.015248406610079234
hydrogen_to_methane,climate_neutrality,2050,ROU,twh,0.0034155899072080497
hydrogen_to_methane,climate_neutrality,2050,SVK,twh,2.232926270305099e-05
hydrogen_to_methane,climate_neutrality,2050,SVN,twh,6.296580439335843e-06
hydrogen_to_methane,climate_neutrality,2050,SWE,twh,0.00038073067151090295
