technology,scenario,year,locs,unit,flow_out_sum
hydro_reservoir,climate_neutrality,2050,LTU,twh,0.4529867327614623
hydro_reservoir,climate_neutrality,2050,LVA,twh,1.4534715582599178
hydro_reservoir,climate_neutrality,2050,POL,twh,2.0118671412062943
hydro_reservoir,climate_neutrality,2050,PRT,twh,8.042185060552715
hydro_reservoir,climate_neutrality,2050,ROU,twh,15.394049046272459
hydro_reservoir,climate_neutrality,2050,SVK,twh,2.407045366185357
hydro_reservoir,climate_neutrality,2050,SVN,twh,0.9518056514460186
hydro_reservoir,climate_neutrality,2050,SWE,twh,53.0735639948224
hydro_run_of_river,climate_neutrality,2050,AUT,twh,14.744006634128388
hydro_run_of_river,climate_neutrality,2050,BEL,twh,0.2572568429794428
hydro_run_of_river,climate_neutrality,2050,BGR,twh,0.045346683890596415
hydro_run_of_river,climate_neutrality,2050,CZE,twh,0.09222872261735038
hydro_run_of_river,climate_neutrality,2050,DEU,twh,18.97487444873986
hydro_run_of_river,climate_neutrality,2050,FIN,twh,6.4666186640711
hydro_run_of_river,climate_neutrality,2050,FRA,twh,19.134415900300848
hydro_run_of_river,climate_neutrality,2050,GBR,twh,2.217031825308104
hydro_run_of_river,climate_neutrality,2050,GRC,twh,0.18200991281386314
hydro_run_of_river,climate_neutrality,2050,HRV,twh,0.9489319814700073
hydro_run_of_river,climate_neutrality,2050,HUN,twh,0.07972719383744689
hydro_run_of_river,climate_neutrality,2050,IRL,twh,0.43132349077055454
hydro_run_of_river,climate_neutrality,2050,ITA,twh,19.991612162725854
hydro_run_of_river,climate_neutrality,2050,LVA,twh,0.8988850002859308
hydro_run_of_river,climate_neutrality,2050,POL,twh,0.07764142020591447
hydro_run_of_river,climate_neutrality,2050,PRT,twh,4.818578912280503
hydro_run_of_river,climate_neutrality,2050,ROU,twh,1.962380566547415
hydro_run_of_river,climate_neutrality,2050,SVK,twh,1.7196400032365313
hydro_run_of_river,climate_neutrality,2050,SVN,twh,2.8002050262081983
hydro_run_of_river,climate_neutrality,2050,SWE,twh,7.617384676665511
nuclear,climate_neutrality,2050,BGR,twh,0.004037395789090928
nuclear,climate_neutrality,2050,CZE,twh,42.30103110236416
nuclear,climate_neutrality,2050,FIN,twh,0.004250550438022601
nuclear,climate_neutrality,2050,FRA,twh,145.30467263654435
nuclear,climate_neutrality,2050,GBR,twh,58.63334373764428
nuclear,climate_neutrality,2050,HUN,twh,15.812603159624542
nuclear,climate_neutrality,2050,ROU,twh,4.282429457180995
nuclear,climate_neutrality,2050,SVK,twh,6.28352119220625
battery,climate_neutrality,2050,AUT,twh,6.9544726222432285
battery,climate_neutrality,2050,BEL,twh,0.980554852295685
battery,climate_neutrality,2050,BGR,twh,2.025397738926266
battery,climate_neutrality,2050,CYP,twh,0.04781508723568777
battery,climate_neutrality,2050,CZE,twh,1.141862242874934
battery,climate_neutrality,2050,DEU,twh,7.065130293206118
battery,climate_neutrality,2050,DNK,twh,0.04889253797149306
battery,climate_neutrality,2050,ESP,twh,9.755547964176783
battery,climate_neutrality,2050,EST,twh,0.027719820075293798
battery,climate_neutrality,2050,FIN,twh,0.04700361262867647
battery,climate_neutrality,2050,FRA,twh,37.6087419569713
battery,climate_neutrality,2050,GBR,twh,2.82114004637862
battery,climate_neutrality,2050,GRC,twh,1.205160424820745
battery,climate_neutrality,2050,HRV,twh,1.7144798087850823
battery,climate_neutrality,2050,HUN,twh,2.102895215867895
battery,climate_neutrality,2050,IRL,twh,0.2803319232398273
battery,climate_neutrality,2050,ITA,twh,67.94019155628513
battery,climate_neutrality,2050,LTU,twh,1.0086336324827323
battery,climate_neutrality,2050,LUX,twh,0.8808016594805115
battery,climate_neutrality,2050,LVA,twh,0.02389564110883842
battery,climate_neutrality,2050,NLD,twh,0.11862938891176886
battery,climate_neutrality,2050,POL,twh,1.6564074243438414
battery,climate_neutrality,2050,PRT,twh,4.687823385651592
battery,climate_neutrality,2050,ROU,twh,0.5515306574607846
battery,climate_neutrality,2050,SVK,twh,0.668521505105339
battery,climate_neutrality,2050,SVN,twh,0.69457285459974
battery,climate_neutrality,2050,SWE,twh,0.9273298318378373
heat_storage_big,climate_neutrality,2050,AUT,twh,163.44220308255098
heat_storage_big,climate_neutrality,2050,BEL,twh,92.42791605196413
heat_storage_big,climate_neutrality,2050,BGR,twh,41.230172914179064
heat_storage_big,climate_neutrality,2050,CYP,twh,16.192206452942717
heat_storage_big,climate_neutrality,2050,CZE,twh,153.03588587624756
heat_storage_big,climate_neutrality,2050,DEU,twh,741.5291066538174
heat_storage_big,climate_neutrality,2050,DNK,twh,35.46432223368856
heat_storage_big,climate_neutrality,2050,ESP,twh,123.84264013654148
heat_storage_big,climate_neutrality,2050,EST,twh,9.581015376840636
heat_storage_big,climate_neutrality,2050,FIN,twh,199.13211934647825
heat_storage_big,climate_neutrality,2050,FRA,twh,397.18621891841036
heat_storage_big,climate_neutrality,2050,GBR,twh,444.51061879820105
heat_storage_big,climate_neutrality,2050,GRC,twh,96.430994948592
heat_storage_big,climate_neutrality,2050,HRV,twh,5.498948495002889
heat_storage_big,climate_neutrality,2050,HUN,twh,44.111685185569044
heat_storage_big,climate_neutrality,2050,IRL,twh,56.776313360070034
heat_storage_big,climate_neutrality,2050,ITA,twh,167.96408202039723
heat_storage_big,climate_neutrality,2050,LTU,twh,42.67478508968689
heat_storage_big,climate_neutrality,2050,LUX,twh,7.716323440142117
heat_storage_big,climate_neutrality,2050,LVA,twh,5.308060380771149
heat_storage_big,climate_neutrality,2050,NLD,twh,149.59280922160025
heat_storage_big,climate_neutrality,2050,POL,twh,724.1395242483372
heat_storage_big,climate_neutrality,2050,PRT,twh,78.861999890942
heat_storage_big,climate_neutrality,2050,ROU,twh,207.37172816165105
heat_storage_big,climate_neutrality,2050,SVK,twh,57.9609746620479
heat_storage_big,climate_neutrality,2050,SVN,twh,5.914227422932679
heat_storage_big,climate_neutrality,2050,SWE,twh,174.62510531152418
hydrogen_storage,climate_neutrality,2050,AUT,twh,0.006371257110122
hydrogen_storage,climate_neutrality,2050,BEL,twh,0.002080948572027275
hydrogen_storage,climate_neutrality,2050,BGR,twh,0.002180254328510416
hydrogen_storage,climate_neutrality,2050,CYP,twh,0.00233932572098387
hydrogen_storage,climate_neutrality,2050,CZE,twh,0.0041237691613015826
hydrogen_storage,climate_neutrality,2050,DEU,twh,0.014577429283599288
hydrogen_storage,climate_neutrality,2050,DNK,twh,0.004389943985204212
hydrogen_storage,climate_neutrality,2050,ESP,twh,0.024215266101604193
hydrogen_storage,climate_neutrality,2050,EST,twh,0.0024349725112172253
hydrogen_storage,climate_neutrality,2050,FIN,twh,0.00459515067259816
hydrogen_storage,climate_neutrality,2050,FRA,twh,0.03203963241526032
hydrogen_storage,climate_neutrality,2050,GBR,twh,0.013189928714924378
hydrogen_storage,climate_neutrality,2050,GRC,twh,0.004355711552600171
hydrogen_storage,climate_neutrality,2050,HRV,twh,0.00213807282541154
hydrogen_storage,climate_neutrality,2050,HUN,twh,0.00216720953243785
hydrogen_storage,climate_neutrality,2050,IRL,twh,0.0023778820638556885
hydrogen_storage,climate_neutrality,2050,ITA,twh,0.01325154213376913
hydrogen_storage,climate_neutrality,2050,LTU,twh,0.002358774123335104
hydrogen_storage,climate_neutrality,2050,LUX,twh,0.0023733956334777637
hydrogen_storage,climate_neutrality,2050,LVA,twh,0.002175403320913851
hydrogen_storage,climate_neutrality,2050,NLD,twh,0.0020752296318348054
hydrogen_storage,climate_neutrality,2050,POL,twh,0.010729396113106906
hydrogen_storage,climate_neutrality,2050,PRT,twh,0.004420327843133436
hydrogen_storage,climate_neutrality,2050,ROU,twh,0.006585612091996287
hydrogen_storage,climate_neutrality,2050,SVK,twh,0.00210978207691241
hydrogen_storage,climate_neutrality,2050,SVN,twh,0.0024263755334146837
hydrogen_storage,climate_neutrality,2050,SWE,twh,0.008575162404099335
eu_import,climate_neutrality,2050,AUT,twh,4.0682925923320425
eu_import,climate_neutrality,2050,BGR,twh,7.768908404980052
eu_import,climate_neutrality,2050,DEU,twh,24.54320673978782
eu_import,climate_neutrality,2050,DNK,twh,8.26357211622321
eu_import,climate_neutrality,2050,FIN,twh,9.722342341116235
eu_import,climate_neutrality,2050,FRA,twh,26.41078005466181
eu_import,climate_neutrality,2050,GBR,twh,94.89423361303605
eu_import,climate_neutrality,2050,GRC,twh,4.68626552539396
eu_import,climate_neutrality,2050,HRV,twh,12.261042820322473
eu_import,climate_neutrality,2050,HUN,twh,25.595261453830354
eu_import,climate_neutrality,2050,ITA,twh,32.66687201918617
eu_import,climate_neutrality,2050,NLD,twh,156.06719974668445
eu_import,climate_neutrality,2050,ROU,twh,10.268397143706544
eu_import,climate_neutrality,2050,SWE,twh,45.94502273862563
hp,climate_neutrality,2050,AUT,twh,57.079252199132256
hp,climate_neutrality,2050,BEL,twh,100.17488350874373
hp,climate_neutrality,2050,BGR,twh,8.538985985018975
hp,climate_neutrality,2050,CYP,twh,3.149455495041739
hp,climate_neutrality,2050,CZE,twh,66.01281062258647
hp,climate_neutrality,2050,DEU,twh,641.2084883093206
hp,climate_neutrality,2050,DNK,twh,45.778483016102214
hp,climate_neutrality,2050,ESP,twh,165.3443839534591
hp,climate_neutrality,2050,EST,twh,1.6398495093281764
hp,climate_neutrality,2050,FIN,twh,42.008893142002634
hp,climate_neutrality,2050,FRA,twh,463.86293779891076
hp,climate_neutrality,2050,GBR,twh,480.575789400368
hp,climate_neutrality,2050,GRC,twh,37.35316640056128
hp,climate_neutrality,2050,HRV,twh,18.19501304859461
hp,climate_neutrality,2050,HUN,twh,53.42214325952662
hp,climate_neutrality,2050,IRL,twh,30.990374356458382
hp,climate_neutrality,2050,ITA,twh,336.2158563576968
hp,climate_neutrality,2050,LTU,twh,6.751523374022337
hp,climate_neutrality,2050,LUX,twh,7.333998240453102
hp,climate_neutrality,2050,LVA,twh,1.041334791123991
hp,climate_neutrality,2050,NLD,twh,156.12735842974462
hp,climate_neutrality,2050,POL,twh,180.34361111697612
hp,climate_neutrality,2050,PRT,twh,26.561974644284454
hp,climate_neutrality,2050,ROU,twh,34.701031086823576
hp,climate_neutrality,2050,SVK,twh,17.52704228520186
hp,climate_neutrality,2050,SVN,twh,3.939410296749561
hp,climate_neutrality,2050,SWE,twh,56.604872881370696
electrolysis,climate_neutrality,2050,AUT,twh,1.6809663523093736
electrolysis,climate_neutrality,2050,BEL,twh,0.2550769296481502
