technology,scenario,year,locs,unit,total_investment_cost
wind_offshore,climate_neutrality,2050,POL,billion_2015eur,0.0015050515925691312
wind_offshore,climate_neutrality,2050,PRT,billion_2015eur,0.0010128675504176387
wind_offshore,climate_neutrality,2050,ROU,billion_2015eur,0.0003646795242510123
wind_offshore,climate_neutrality,2050,SVN,billion_2015eur,0.0002297371251819015
wind_offshore,climate_neutrality,2050,SWE,billion_2015eur,0.0014904156286819764
hydro_reservoir,climate_neutrality,2050,AUT,billion_2015eur,1.8012647248068028
hydro_reservoir,climate_neutrality,2050,BEL,billion_2015eur,0.004479301104841317
hydro_reservoir,climate_neutrality,2050,BGR,billion_2015eur,0.5221177761617246
hydro_reservoir,climate_neutrality,2050,CZE,billion_2015eur,0.2502381839680083
hydro_reservoir,climate_neutrality,2050,DEU,billion_2015eur,0.07132740958124825
hydro_reservoir,climate_neutrality,2050,ESP,billion_2015eur,3.0681829910177636
hydro_reservoir,climate_neutrality,2050,FIN,billion_2015eur,0.47305407242001435
hydro_reservoir,climate_neutrality,2050,FRA,billion_2015eur,3.2682844940166786
hydro_reservoir,climate_neutrality,2050,GBR,billion_2015eur,0.16143629683329858
hydro_reservoir,climate_neutrality,2050,GRC,billion_2015eur,0.9096003286934135
hydro_reservoir,climate_neutrality,2050,HRV,billion_2015eur,0.4651069252985216
hydro_reservoir,climate_neutrality,2050,HUN,billion_2015eur,0.00984796581989621
hydro_reservoir,climate_neutrality,2050,IRL,billion_2015eur,0.0003517130649962932
hydro_reservoir,climate_neutrality,2050,ITA,billion_2015eur,1.636334483503305
hydro_reservoir,climate_neutrality,2050,LTU,billion_2015eur,0.03552301956462561
hydro_reservoir,climate_neutrality,2050,LVA,billion_2015eur,0.3056386534817788
hydro_reservoir,climate_neutrality,2050,POL,billion_2015eur,0.11270835585707638
hydro_reservoir,climate_neutrality,2050,PRT,billion_2015eur,0.6912568579437147
hydro_reservoir,climate_neutrality,2050,ROU,billion_2015eur,1.8547518588008642
hydro_reservoir,climate_neutrality,2050,SVK,billion_2015eur,0.27855674747706416
hydro_reservoir,climate_neutrality,2050,SVN,billion_2015eur,0.07835815375052416
