technology,scenario,year,locs,unit,nameplate_capacity
hydro_reservoir,climate_neutrality,2050,LVA,tw,0.0008690000000000002
hydro_reservoir,climate_neutrality,2050,POL,tw,0.0003204554140127386
hydro_reservoir,climate_neutrality,2050,PRT,tw,0.0019654
hydro_reservoir,climate_neutrality,2050,ROU,tw,0.005273480127388536
hydro_reservoir,climate_neutrality,2050,SVK,tw,0.000792
hydro_reservoir,climate_neutrality,2050,SVN,tw,0.00022279
hydro_reservoir,climate_neutrality,2050,SWE,tw,0.01145406351686304
hydro_run_of_river,climate_neutrality,2050,AUT,tw,0.004569601531122705
hydro_run_of_river,climate_neutrality,2050,BEL,tw,5.9015339742579186e-05
hydro_run_of_river,climate_neutrality,2050,BGR,tw,2.24e-05
hydro_run_of_river,climate_neutrality,2050,CZE,tw,4.0226382271496004e-05
hydro_run_of_river,climate_neutrality,2050,DEU,tw,0.0036774115043751512
hydro_run_of_river,climate_neutrality,2050,FIN,tw,0.0013086500000000002
hydro_run_of_river,climate_neutrality,2050,FRA,tw,0.005941142562490507
hydro_run_of_river,climate_neutrality,2050,GBR,tw,0.0006852000000000002
hydro_run_of_river,climate_neutrality,2050,GRC,tw,0.000110315
hydro_run_of_river,climate_neutrality,2050,HRV,tw,0.00027866773029167687
hydro_run_of_river,climate_neutrality,2050,HUN,tw,1.97e-05
hydro_run_of_river,climate_neutrality,2050,IRL,tw,0.000216
hydro_run_of_river,climate_neutrality,2050,ITA,tw,0.0069491000000000015
hydro_run_of_river,climate_neutrality,2050,LVA,tw,0.0006421
hydro_run_of_river,climate_neutrality,2050,POL,tw,1.4400368779543972e-05
hydro_run_of_river,climate_neutrality,2050,PRT,tw,0.0016155
hydro_run_of_river,climate_neutrality,2050,ROU,tw,0.00087045
hydro_run_of_river,climate_neutrality,2050,SVK,tw,0.0006413299999999999
hydro_run_of_river,climate_neutrality,2050,SVN,tw,0.0008296849999999999
hydro_run_of_river,climate_neutrality,2050,SWE,tw,0.00195586012449082
nuclear,climate_neutrality,2050,BGR,tw,6.121966391154153e-07
nuclear,climate_neutrality,2050,CZE,tw,0.006230020131222373
nuclear,climate_neutrality,2050,FIN,tw,6.418098005565949e-07
nuclear,climate_neutrality,2050,FRA,tw,0.022000676871963207
nuclear,climate_neutrality,2050,GBR,tw,0.0089
nuclear,climate_neutrality,2050,HUN,tw,0.0024000000000000002
nuclear,climate_neutrality,2050,ROU,tw,0.0006500344166510501
nuclear,climate_neutrality,2050,SVK,tw,0.000940013532419293
battery,climate_neutrality,2050,AUT,tw,0.004138745290368633
battery,climate_neutrality,2050,BEL,tw,0.0013909527350736515
battery,climate_neutrality,2050,BGR,tw,0.0014178875079176104
battery,climate_neutrality,2050,CYP,tw,2.533103216007123e-05
battery,climate_neutrality,2050,CZE,tw,0.0012797702316101783
battery,climate_neutrality,2050,DEU,tw,0.00787775443187153
battery,climate_neutrality,2050,DNK,tw,2.5492623109225736e-05
battery,climate_neutrality,2050,ESP,tw,0.010675099450487542
battery,climate_neutrality,2050,EST,tw,1.6243539078558028e-05
battery,climate_neutrality,2050,FIN,tw,3.106645684026446e-05
battery,climate_neutrality,2050,FRA,tw,0.030361678826260584
battery,climate_neutrality,2050,GBR,tw,0.003149833354404374
battery,climate_neutrality,2050,GRC,tw,0.0008322644431352374
battery,climate_neutrality,2050,HRV,tw,0.0015791682881447135
battery,climate_neutrality,2050,HUN,tw,0.0018413588136251269
battery,climate_neutrality,2050,IRL,tw,0.0003585198273000063
battery,climate_neutrality,2050,ITA,tw,0.05241908465500758
battery,climate_neutrality,2050,LTU,tw,0.0009227416225638277
battery,climate_neutrality,2050,LUX,tw,0.00136475598829355
battery,climate_neutrality,2050,LVA,tw,1.5135141975834763e-05
battery,climate_neutrality,2050,NLD,tw,0.00011834249468239825
battery,climate_neutrality,2050,POL,tw,0.002040996939797959
battery,climate_neutrality,2050,PRT,tw,0.0029961048268734637
battery,climate_neutrality,2050,ROU,tw,0.00025306998474319164
battery,climate_neutrality,2050,SVK,tw,0.0010583671860647367
battery,climate_neutrality,2050,SVN,tw,0.0006749483593012158
battery,climate_neutrality,2050,SWE,tw,0.00048228892286397105
heat_storage_big,climate_neutrality,2050,AUT,tw,0.037311731835002616
heat_storage_big,climate_neutrality,2050,BEL,tw,0.021097308071999474
heat_storage_big,climate_neutrality,2050,BGR,tw,0.009418518102985123
heat_storage_big,climate_neutrality,2050,CYP,tw,0.0037017294379388275
heat_storage_big,climate_neutrality,2050,CZE,tw,0.034935619626157675
heat_storage_big,climate_neutrality,2050,DEU,tw,0.16926891482815107
heat_storage_big,climate_neutrality,2050,DNK,tw,0.008096626415782278
heat_storage_big,climate_neutrality,2050,ESP,tw,0.028275235471083498
heat_storage_big,climate_neutrality,2050,EST,tw,0.00218792046074959
heat_storage_big,climate_neutrality,2050,FIN,tw,0.045450146110738596
heat_storage_big,climate_neutrality,2050,FRA,tw,0.09067542374053672
heat_storage_big,climate_neutrality,2050,GBR,tw,0.10147119965664211
heat_storage_big,climate_neutrality,2050,GRC,tw,0.02200910217014273
heat_storage_big,climate_neutrality,2050,HRV,tw,0.0012622894595743217
heat_storage_big,climate_neutrality,2050,HUN,tw,0.010069021021808955
heat_storage_big,climate_neutrality,2050,IRL,tw,0.012959532279074554
heat_storage_big,climate_neutrality,2050,ITA,tw,0.03833230833023396
heat_storage_big,climate_neutrality,2050,LTU,tw,0.009742102173749986
heat_storage_big,climate_neutrality,2050,LUX,tw,0.0017623904847700147
heat_storage_big,climate_neutrality,2050,LVA,tw,0.0012187531747712373
heat_storage_big,climate_neutrality,2050,NLD,tw,0.03414374764137171
heat_storage_big,climate_neutrality,2050,POL,tw,0.165312795895957
heat_storage_big,climate_neutrality,2050,PRT,tw,0.018000442559730257
heat_storage_big,climate_neutrality,2050,ROU,tw,0.0473377260471208
heat_storage_big,climate_neutrality,2050,SVK,tw,0.013231097269099802
heat_storage_big,climate_neutrality,2050,SVN,tw,0.0013508069044543126
heat_storage_big,climate_neutrality,2050,SWE,tw,0.03985914249086266
hydrogen_storage,climate_neutrality,2050,AUT,tw,3.230274296386803e-06
hydrogen_storage,climate_neutrality,2050,BEL,tw,1.0708625700658743e-06
hydrogen_storage,climate_neutrality,2050,BGR,tw,1.089108974339709e-06
hydrogen_storage,climate_neutrality,2050,CYP,tw,1.179883230412806e-06
