technology,scenario,year,locs,unit,flow_out_50
battery,climate_neutrality,2050,LUX,twh,7.361528021625066e-06
battery,climate_neutrality,2050,LVA,twh,3.929178809064953e-06
battery,climate_neutrality,2050,NLD,twh,4.662215634721695e-06
battery,climate_neutrality,2050,POL,twh,4.223106449416098e-05
battery,climate_neutrality,2050,PRT,twh,3.0317791931603127e-05
battery,climate_neutrality,2050,ROU,twh,2.0935536533902798e-05
battery,climate_neutrality,2050,SVK,twh,7.713213751380323e-06
battery,climate_neutrality,2050,SVN,twh,1.3297321992650008e-05
battery,climate_neutrality,2050,SWE,twh,2.6638899239446847e-05
heat_storage_big,climate_neutrality,2050,AUT,twh,0.037235324147667656
heat_storage_big,climate_neutrality,2050,BEL,twh,0.0210569795871028
heat_storage_big,climate_neutrality,2050,BGR,twh,0.009388608704287317
heat_storage_big,climate_neutrality,2050,CYP,twh,0.0036863824074338846
heat_storage_big,climate_neutrality,2050,CZE,twh,0.03485942969864023
heat_storage_big,climate_neutrality,2050,DEU,twh,0.16894731457943424
heat_storage_big,climate_neutrality,2050,DNK,twh,0.008075410906903308
heat_storage_big,climate_neutrality,2050,ESP,twh,0.028187486462622195
heat_storage_big,climate_neutrality,2050,EST,twh,0.002181299205282936
heat_storage_big,climate_neutrality,2050,FIN,twh,0.04536316699242322
heat_storage_big,climate_neutrality,2050,FRA,twh,0.09045543640601555
heat_storage_big,climate_neutrality,2050,GBR,twh,0.10126864290149613
heat_storage_big,climate_neutrality,2050,GRC,twh,0.02195709626385175
heat_storage_big,climate_neutrality,2050,HRV,twh,0.0012511650536021607
heat_storage_big,climate_neutrality,2050,HUN,twh,0.010046469263091622
heat_storage_big,climate_neutrality,2050,IRL,twh,0.012930575903004272
heat_storage_big,climate_neutrality,2050,ITA,twh,0.03825412248035888
heat_storage_big,climate_neutrality,2050,LTU,twh,0.00972222826360641
heat_storage_big,climate_neutrality,2050,LUX,twh,0.0017555902967559768
heat_storage_big,climate_neutrality,2050,LVA,twh,0.0012080514207831088
heat_storage_big,climate_neutrality,2050,NLD,twh,0.03408148167658337
heat_storage_big,climate_neutrality,2050,POL,twh,0.16497885601106388
heat_storage_big,climate_neutrality,2050,PRT,twh,0.017964946865812594
heat_storage_big,climate_neutrality,2050,ROU,twh,0.047244460842218915
heat_storage_big,climate_neutrality,2050,SVK,twh,0.01320376463550005
heat_storage_big,climate_neutrality,2050,SVN,twh,0.001345214073795014
heat_storage_big,climate_neutrality,2050,SWE,twh,0.039777897330584865
hydrogen_storage,climate_neutrality,2050,AUT,twh,1.4109233160631169e-06
hydrogen_storage,climate_neutrality,2050,BEL,twh,4.608840039215138e-07
hydrogen_storage,climate_neutrality,2050,BGR,twh,4.731756225822001e-07
hydrogen_storage,climate_neutrality,2050,CYP,twh,4.923051108113668e-07
hydrogen_storage,climate_neutrality,2050,CZE,twh,9.183782145039464e-07
hydrogen_storage,climate_neutrality,2050,DEU,twh,3.216289352429818e-06
hydrogen_storage,climate_neutrality,2050,DNK,twh,9.543695847443271e-07
hydrogen_storage,climate_neutrality,2050,ESP,twh,5.2368475490627e-06
hydrogen_storage,climate_neutrality,2050,EST,twh,5.187251390460056e-07
hydrogen_storage,climate_neutrality,2050,FIN,twh,1.0010357981690499e-06
hydrogen_storage,climate_neutrality,2050,FRA,twh,7.075986466713895e-06
hydrogen_storage,climate_neutrality,2050,GBR,twh,2.8647550025731407e-06
hydrogen_storage,climate_neutrality,2050,GRC,twh,9.456719765967241e-07
hydrogen_storage,climate_neutrality,2050,HRV,twh,4.6894170530902097e-07
hydrogen_storage,climate_neutrality,2050,HUN,twh,4.775998731667021e-07
hydrogen_storage,climate_neutrality,2050,IRL,twh,5.094144936270198e-07
hydrogen_storage,climate_neutrality,2050,ITA,twh,2.895852771251808e-06
hydrogen_storage,climate_neutrality,2050,LTU,twh,5.120365274217785e-07
hydrogen_storage,climate_neutrality,2050,LUX,twh,5.150299803639809e-07
hydrogen_storage,climate_neutrality,2050,LVA,twh,4.738722463467458e-07
hydrogen_storage,climate_neutrality,2050,NLD,twh,4.5808954961962376e-07
hydrogen_storage,climate_neutrality,2050,POL,twh,2.3534997522532234e-06
hydrogen_storage,climate_neutrality,2050,PRT,twh,9.511437457228053e-07
hydrogen_storage,climate_neutrality,2050,ROU,twh,1.4312925473646984e-06
hydrogen_storage,climate_neutrality,2050,SVK,twh,4.6911703252771374e-07
hydrogen_storage,climate_neutrality,2050,SVN,twh,5.332603753730053e-07
hydrogen_storage,climate_neutrality,2050,SWE,twh,1.897526453613652e-06
eu_import,climate_neutrality,2050,AUT,twh,1.6118148000082398e-05
eu_import,climate_neutrality,2050,BGR,twh,1.830624702669917e-05
eu_import,climate_neutrality,2050,DEU,twh,0.0028058443911311466
eu_import,climate_neutrality,2050,DNK,twh,0.00250540872246946
eu_import,climate_neutrality,2050,FIN,twh,0.002452595089414298
eu_import,climate_neutrality,2050,FRA,twh,4.963961621189444e-05
eu_import,climate_neutrality,2050,GBR,twh,0.022090491680100875
eu_import,climate_neutrality,2050,GRC,twh,0.00017716193086290605
eu_import,climate_neutrality,2050,HRV,twh,0.0002297883306849995
eu_import,climate_neutrality,2050,HUN,twh,8.689021984558323e-06
eu_import,climate_neutrality,2050,ITA,twh,0.0029357576128790927
eu_import,climate_neutrality,2050,NLD,twh,0.04363805105934454
eu_import,climate_neutrality,2050,ROU,twh,1.0018901440083899e-05
eu_import,climate_neutrality,2050,SWE,twh,0.006049166695299371
hp,climate_neutrality,2050,AUT,twh,0.01208178549333282
hp,climate_neutrality,2050,BEL,twh,0.020833548287316834
hp,climate_neutrality,2050,BGR,twh,0.001521639918962928
hp,climate_neutrality,2050,CYP,twh,0.0006023604257347577
hp,climate_neutrality,2050,CZE,twh,0.014437441895163352
hp,climate_neutrality,2050,DEU,twh,0.141445425939214
hp,climate_neutrality,2050,DNK,twh,0.009933528637096081
hp,climate_neutrality,2050,ESP,twh,0.02980561309763728
hp,climate_neutrality,2050,EST,twh,0.0003752029793345287
hp,climate_neutrality,2050,FIN,twh,0.009566474710864172
hp,climate_neutrality,2050,FRA,twh,0.09479197813741508
hp,climate_neutrality,2050,GBR,twh,0.10273545494821361
hp,climate_neutrality,2050,GRC,twh,0.005744322366971687
hp,climate_neutrality,2050,HRV,twh,0.003332601576122091
hp,climate_neutrality,2050,HUN,twh,0.00906113135914852
hp,climate_neutrality,2050,IRL,twh,0.006414140999582714
hp,climate_neutrality,2050,ITA,twh,0.061267185560190285
hp,climate_neutrality,2050,LTU,twh,0.0014861725092294546
hp,climate_neutrality,2050,LUX,twh,0.001603720231813554
hp,climate_neutrality,2050,LVA,twh,0.0002551029055671408
hp,climate_neutrality,2050,NLD,twh,0.03239908203268622
