technology,scenario,year,locs,unit,flow_out_summer_peak
hydrogen_storage,climate_neutrality,2050,DNK,twh,1.552710841869391e-06
hydrogen_storage,climate_neutrality,2050,ESP,twh,8.340451082662518e-06
hydrogen_storage,climate_neutrality,2050,EST,twh,9.550065784854163e-07
hydrogen_storage,climate_neutrality,2050,FIN,twh,1.591681965824689e-06
hydrogen_storage,climate_neutrality,2050,FRA,twh,9.210399454850999e-06
hydrogen_storage,climate_neutrality,2050,GBR,twh,5.455477043485006e-06
hydrogen_storage,climate_neutrality,2050,GRC,twh,1.4903192760585298e-06
hydrogen_storage,climate_neutrality,2050,HRV,twh,7.00134212224974e-07
hydrogen_storage,climate_neutrality,2050,HUN,twh,7.092684644932362e-07
hydrogen_storage,climate_neutrality,2050,IRL,twh,1.1349566654893616e-06
hydrogen_storage,climate_neutrality,2050,ITA,twh,4.172939242148698e-06
hydrogen_storage,climate_neutrality,2050,LTU,twh,7.438022848498067e-07
hydrogen_storage,climate_neutrality,2050,LUX,twh,7.34025951316477e-07
hydrogen_storage,climate_neutrality,2050,LVA,twh,7.164922957903518e-07
hydrogen_storage,climate_neutrality,2050,NLD,twh,6.046966836663137e-07
hydrogen_storage,climate_neutrality,2050,POL,twh,3.4288958168281225e-06
hydrogen_storage,climate_neutrality,2050,PRT,twh,1.8366361516793207e-06
hydrogen_storage,climate_neutrality,2050,ROU,twh,2.363194177390378e-06
hydrogen_storage,climate_neutrality,2050,SVK,twh,6.326598281662616e-07
hydrogen_storage,climate_neutrality,2050,SVN,twh,7.39663591418066e-07
hydrogen_storage,climate_neutrality,2050,SWE,twh,2.6863907139844495e-06
eu_import,climate_neutrality,2050,AUT,twh,0.00472968670101581
eu_import,climate_neutrality,2050,BGR,twh,0.02004491496594495
eu_import,climate_neutrality,2050,DEU,twh,0.01468445716919938
eu_import,climate_neutrality,2050,DNK,twh,0.003399762063979392
eu_import,climate_neutrality,2050,FIN,twh,0.003925991814447455
eu_import,climate_neutrality,2050,FRA,twh,0.03473629915259967
eu_import,climate_neutrality,2050,GBR,twh,0.04134680124469238
eu_import,climate_neutrality,2050,GRC,twh,0.004300597548298276
eu_import,climate_neutrality,2050,HRV,twh,0.01342320170740203
eu_import,climate_neutrality,2050,HUN,twh,0.041134916989677556
eu_import,climate_neutrality,2050,ITA,twh,0.01927572753596786
eu_import,climate_neutrality,2050,NLD,twh,0.04387344240593162
eu_import,climate_neutrality,2050,ROU,twh,0.03990493430214617
eu_import,climate_neutrality,2050,SWE,twh,0.038555609018854936
hp,climate_neutrality,2050,AUT,twh,0.010470646014644844
hp,climate_neutrality,2050,BEL,twh,0.01590343241636173
hp,climate_neutrality,2050,BGR,twh,0.001995652111389584
hp,climate_neutrality,2050,CYP,twh,0.000994821013650843
hp,climate_neutrality,2050,CZE,twh,0.010431414671491246
hp,climate_neutrality,2050,DEU,twh,0.10756685929694339
hp,climate_neutrality,2050,DNK,twh,0.006915387993911168
hp,climate_neutrality,2050,ESP,twh,0.030849622206160547
hp,climate_neutrality,2050,EST,twh,0.0004246706237883528
hp,climate_neutrality,2050,FIN,twh,0.013865373914527173
hp,climate_neutrality,2050,FRA,twh,0.07665240037651273
hp,climate_neutrality,2050,GBR,twh,0.11010698805339825
hp,climate_neutrality,2050,GRC,twh,0.0068828170405615926
hp,climate_neutrality,2050,HRV,twh,0.0022001324266931245
hp,climate_neutrality,2050,HUN,twh,0.005240676475153643
hp,climate_neutrality,2050,IRL,twh,0.00768356871441411
hp,climate_neutrality,2050,ITA,twh,0.05851796508877551
hp,climate_neutrality,2050,LTU,twh,0.0023321648909833646
hp,climate_neutrality,2050,LUX,twh,0.0013023006409501527
hp,climate_neutrality,2050,LVA,twh,0.00024885572885302814
hp,climate_neutrality,2050,NLD,twh,0.02384238026858446
hp,climate_neutrality,2050,POL,twh,0.03792649516358553
hp,climate_neutrality,2050,PRT,twh,0.006800401861175099
hp,climate_neutrality,2050,ROU,twh,0.009107033201337463
hp,climate_neutrality,2050,SVK,twh,0.0030970756904114107
hp,climate_neutrality,2050,SVN,twh,0.0006297833243508585
hp,climate_neutrality,2050,SWE,twh,0.01226050488730116
electrolysis,climate_neutrality,2050,AUT,twh,0.00044811955008209015
electrolysis,climate_neutrality,2050,BEL,twh,6.528579340244224e-05
electrolysis,climate_neutrality,2050,BGR,twh,2.0950580320372602e-05
electrolysis,climate_neutrality,2050,CYP,twh,0.00259184920717341
electrolysis,climate_neutrality,2050,CZE,twh,0.0004311154569856936
electrolysis,climate_neutrality,2050,DEU,twh,0.00161075765676683
electrolysis,climate_neutrality,2050,DNK,twh,0.0660900687767989
electrolysis,climate_neutrality,2050,ESP,twh,0.004828455235666948
electrolysis,climate_neutrality,2050,EST,twh,0.016689956039346227
electrolysis,climate_neutrality,2050,FIN,twh,2.8824127521464536e-05
electrolysis,climate_neutrality,2050,FRA,twh,0.00479836237671323
electrolysis,climate_neutrality,2050,GBR,twh,0.24229013637413868
electrolysis,climate_neutrality,2050,GRC,twh,3.772763204654397e-05
electrolysis,climate_neutrality,2050,HRV,twh,1.4957414797939008e-05
electrolysis,climate_neutrality,2050,HUN,twh,3.6287782018773156e-05
electrolysis,climate_neutrality,2050,IRL,twh,0.09065280096626555
electrolysis,climate_neutrality,2050,ITA,twh,0.01144637452706419
electrolysis,climate_neutrality,2050,LTU,twh,1.0882465386703367e-05
electrolysis,climate_neutrality,2050,LUX,twh,6.617706012135371e-06
electrolysis,climate_neutrality,2050,LVA,twh,1.9413255988775562e-05
electrolysis,climate_neutrality,2050,NLD,twh,2.248761839510902e-05
electrolysis,climate_neutrality,2050,POL,twh,0.00010883563590549643
electrolysis,climate_neutrality,2050,PRT,twh,0.11335107170518692
electrolysis,climate_neutrality,2050,ROU,twh,0.04256258588672006
electrolysis,climate_neutrality,2050,SVK,twh,2.3981187685669645e-05
electrolysis,climate_neutrality,2050,SVN,twh,1.1267795850111465e-05
electrolysis,climate_neutrality,2050,SWE,twh,0.009425826102963676
hydrogen_to_methane,climate_neutrality,2050,AUT,twh,0.0005216339728738211
hydrogen_to_methane,climate_neutrality,2050,BEL,twh,7.277431101671235e-05
hydrogen_to_methane,climate_neutrality,2050,BGR,twh,1.20292003730313e-05
hydrogen_to_methane,climate_neutrality,2050,CYP,twh,0.0014200109411467213
hydrogen_to_methane,climate_neutrality,2050,CZE,twh,0.0005104788116405441
hydrogen_to_methane,climate_neutrality,2050,DEU,twh,0.0019047615983145236
hydrogen_to_methane,climate_neutrality,2050,DNK,twh,0.05286646525133494
hydrogen_to_methane,climate_neutrality,2050,ESP,twh,0.0004379004817980511
hydrogen_to_methane,climate_neutrality,2050,EST,twh,0.002950854485841873
hydrogen_to_methane,climate_neutrality,2050,FIN,twh,1.455806071581719e-05
hydrogen_to_methane,climate_neutrality,2050,FRA,twh,0.00020386579240062348
hydrogen_to_methane,climate_neutrality,2050,GBR,twh,0.04765164181288295
hydrogen_to_methane,climate_neutrality,2050,GRC,twh,2.1386987642283327e-05
hydrogen_to_methane,climate_neutrality,2050,HRV,twh,9.729221749764077e-06
hydrogen_to_methane,climate_neutrality,2050,HUN,twh,2.990129422942495e-05
hydrogen_to_methane,climate_neutrality,2050,IRL,twh,0.03851504896505396
hydrogen_to_methane,climate_neutrality,2050,ITA,twh,0.0022262069344204318
hydrogen_to_methane,climate_neutrality,2050,LTU,twh,6.0086667558373255e-06
hydrogen_to_methane,climate_neutrality,2050,LUX,twh,4.111806622470289e-06
hydrogen_to_methane,climate_neutrality,2050,LVA,twh,8.3177290123104e-06
hydrogen_to_methane,climate_neutrality,2050,NLD,twh,1.9807117234898925e-05
hydrogen_to_methane,climate_neutrality,2050,POL,twh,7.394668844410447e-05
hydrogen_to_methane,climate_neutrality,2050,PRT,twh,0.015248420292386874
hydrogen_to_methane,climate_neutrality,2050,ROU,twh,0.0034157333777149585
hydrogen_to_methane,climate_neutrality,2050,SVK,twh,2.2327334690152696e-05
hydrogen_to_methane,climate_neutrality,2050,SVN,twh,5.0038795048388886e-06
hydrogen_to_methane,climate_neutrality,2050,SWE,twh,0.00038074242534144413
