scenario,techs,locs,carriers,unit,year,nameplate_capacity
diag-npi,hydro_reservoir,SWE,electricity,tw,2050,0.011674063516863
diag-npi,hydro_run_of_river,CHE,electricity,tw,2050,0.0040528798
diag-npi,hydro_run_of_river,DEU,electricity,tw,2050,0.0035328955499999
diag-npi,hydro_run_of_river,ESP,electricity,tw,2050,0.0001470082475
diag-npi,hydro_run_of_river,FRA,electricity,tw,2050,0.0063313325624905
diag-npi,hydro_run_of_river,GBR,electricity,tw,2050,0.000848475
diag-npi,hydro_run_of_river,ITA,electricity,tw,2050,0.0059019599999999
diag-npi,hydro_run_of_river,MNE,electricity,tw,2050,0.00031236
diag-npi,hydro_run_of_river,POL,electricity,tw,2050,1.4400368779543972e-05
diag-npi,hydro_run_of_river,PRT,electricity,tw,2050,0.0016155
diag-npi,hydro_run_of_river,SWE,electricity,tw,2050,0.001995
diag-npi,nuclear,FRA,electricity,tw,2050,0.0220001506956049
diag-npi,nuclear,GBR,electricity,tw,2050,0.0089
diag-npi,open_field_pv,CHE,electricity,tw,2050,0.0356493372106564
diag-npi,open_field_pv,DEU,electricity,tw,2050,0.4675739343721471
diag-npi,open_field_pv,DNK,electricity,tw,2050,5.195714370826744e-06
diag-npi,open_field_pv,ESP,electricity,tw,2050,0.2375948709787729
diag-npi,open_field_pv,FRA,electricity,tw,2050,0.2605625258140703
diag-npi,open_field_pv,GBR,electricity,tw,2050,0.0397101426248868
diag-npi,open_field_pv,ITA,electricity,tw,2050,0.3371177401966849
diag-npi,open_field_pv,MNE,electricity,tw,2050,0.0062703032869276
diag-npi,open_field_pv,NLD,electricity,tw,2050,1.87071491965228e-05
diag-npi,open_field_pv,NOR,electricity,tw,2050,1.1390108851439363e-05
diag-npi,open_field_pv,POL,electricity,tw,2050,0.1992045232359316
diag-npi,open_field_pv,PRT,electricity,tw,2050,0.0131765610427526
diag-npi,open_field_pv,SWE,electricity,tw,2050,0.0346274802625135
diag-npi,pumped_hydro,CHE,electricity,tw,2050,0.00424765
diag-npi,pumped_hydro,DEU,electricity,tw,2050,0.00642472
diag-npi,pumped_hydro,ESP,electricity,tw,2050,0.007823272
diag-npi,pumped_hydro,FRA,electricity,tw,2050,0.005064
diag-npi,pumped_hydro,GBR,electricity,tw,2050,0.002905
diag-npi,pumped_hydro,ITA,electricity,tw,2050,0.0079626
diag-npi,pumped_hydro,NOR,electricity,tw,2050,0.0013443
diag-npi,pumped_hydro,POL,electricity,tw,2050,0.001705
diag-npi,pumped_hydro,PRT,electricity,tw,2050,0.00364
diag-npi,pumped_hydro,SWE,electricity,tw,2050,9.2e-05
diag-npi,roof_mounted_pv,CHE,electricity,tw,2050,8.005933105989284e-07
diag-npi,roof_mounted_pv,DEU,electricity,tw,2050,1.2082277665192738e-06
diag-npi,roof_mounted_pv,DNK,electricity,tw,2050,9.229195316109644e-07
diag-npi,roof_mounted_pv,ESP,electricity,tw,2050,1.8136780531733408e-06
diag-npi,roof_mounted_pv,FRA,electricity,tw,2050,2.5568305996200298e-06
diag-npi,roof_mounted_pv,GBR,electricity,tw,2050,1.0274747305365737e-06
diag-npi,roof_mounted_pv,ITA,electricity,tw,2050,9.829353121027537e-07
diag-npi,roof_mounted_pv,MNE,electricity,tw,2050,4.279000226267352e-07
diag-npi,roof_mounted_pv,NLD,electricity,tw,2050,4.796430407044757e-07
diag-npi,roof_mounted_pv,NOR,electricity,tw,2050,1.0014312012048814e-06
diag-npi,roof_mounted_pv,POL,electricity,tw,2050,8.464726696273429e-07
diag-npi,roof_mounted_pv,PRT,electricity,tw,2050,7.994111726118315e-07
diag-npi,roof_mounted_pv,SWE,electricity,tw,2050,6.470089649521345e-07
diag-npi,wind_offshore,DEU,electricity,tw,2050,5.236992047652767e-07
diag-npi,wind_offshore,DNK,electricity,tw,2050,1.0956736917792035e-06
diag-npi,wind_offshore,ESP,electricity,tw,2050,8.309766879386641e-07
diag-npi,wind_offshore,FRA,electricity,tw,2050,1.3035702435562612e-06
diag-npi,wind_offshore,GBR,electricity,tw,2050,8.57746135789089e-07
diag-npi,wind_offshore,ITA,electricity,tw,2050,6.28776878088099e-07
diag-npi,wind_offshore,MNE,electricity,tw,2050,3.887411064659957e-07
diag-npi,wind_offshore,NLD,electricity,tw,2050,1.942048288308295e-06
diag-npi,wind_offshore,NOR,electricity,tw,2050,1.2776513991698757e-06
diag-npi,wind_offshore,POL,electricity,tw,2050,1.6165237950694242e-06
diag-npi,wind_offshore,PRT,electricity,tw,2050,1.1009178911706796e-06
diag-npi,wind_offshore,SWE,electricity,tw,2050,1.9654030824582243e-06
diag-npi,wind_onshore,CHE,electricity,tw,2050,5.051318828698212e-07
