model,scenario,region,variable,unit,year,value
calliope,diag-npi,CHE,Capacity|Electricity|Hydro,tw,2050,0.013180809799999998
calliope,diag-npi,DEU,Capacity|Electricity|Hydro,tw,2030,0.0037356955499999
calliope,diag-npi,DEU,Capacity|Electricity|Hydro,tw,2050,0.0037356955499999
calliope,diag-npi,ESP,Capacity|Electricity|Hydro,tw,2030,0.0085112432475
calliope,diag-npi,ESP,Capacity|Electricity|Hydro,tw,2050,0.0085112432475
calliope,diag-npi,FRA,Capacity|Electricity|Hydro,tw,2030,0.015800970779051
calliope,diag-npi,FRA,Capacity|Electricity|Hydro,tw,2050,0.015800970779051
calliope,diag-npi,GBR,Capacity|Electricity|Hydro,tw,2030,0.0013724750000000002
calliope,diag-npi,GBR,Capacity|Electricity|Hydro,tw,2050,0.0013724750000000002
calliope,diag-npi,ITA,Capacity|Electricity|Hydro,tw,2030,0.0114301999999999
calliope,diag-npi,ITA,Capacity|Electricity|Hydro,tw,2050,0.0114301999999999
calliope,diag-npi,MNE,Capacity|Electricity|Hydro,tw,2030,0.000675321
calliope,diag-npi,MNE,Capacity|Electricity|Hydro,tw,2050,0.000675321
calliope,diag-npi,NOR,Capacity|Electricity|Hydro,tw,2030,0.0317543099999999
calliope,diag-npi,NOR,Capacity|Electricity|Hydro,tw,2050,0.03175431
calliope,diag-npi,POL,Capacity|Electricity|Hydro,tw,2030,0.00042690673820624397
calliope,diag-npi,POL,Capacity|Electricity|Hydro,tw,2050,0.00042690673820624397
calliope,diag-npi,PRT,Capacity|Electricity|Hydro,tw,2030,0.0029509000000000002
calliope,diag-npi,PRT,Capacity|Electricity|Hydro,tw,2050,0.0029509000000000002
calliope,diag-npi,SWE,Capacity|Electricity|Hydro,tw,2030,0.013669063516863
calliope,diag-npi,SWE,Capacity|Electricity|Hydro,tw,2050,0.013669063516863
calliope,diag-npi,CHE,Capacity|Electricity|Solar|PV,tw,2030,0.02834441766536082
calliope,diag-npi,CHE,Capacity|Electricity|Solar|PV,tw,2050,0.035650137803966996
calliope,diag-npi,DEU,Capacity|Electricity|Solar|PV,tw,2030,0.16962128176302202
calliope,diag-npi,DEU,Capacity|Electricity|Solar|PV,tw,2050,0.4675751425999136
calliope,diag-npi,DNK,Capacity|Electricity|Solar|PV,tw,2030,6.623759686548382e-06
calliope,diag-npi,DNK,Capacity|Electricity|Solar|PV,tw,2050,6.118633902437709e-06
calliope,diag-npi,ESP,Capacity|Electricity|Solar|PV,tw,2030,0.20416843377707244
calliope,diag-npi,ESP,Capacity|Electricity|Solar|PV,tw,2050,0.2375966846568261
calliope,diag-npi,FRA,Capacity|Electricity|Solar|PV,tw,2030,0.17310879543420135
calliope,diag-npi,FRA,Capacity|Electricity|Solar|PV,tw,2050,0.26056508264466993
calliope,diag-npi,GBR,Capacity|Electricity|Solar|PV,tw,2030,1.6579103614449382e-05
calliope,diag-npi,GBR,Capacity|Electricity|Solar|PV,tw,2050,0.03971117009961733
calliope,diag-npi,ITA,Capacity|Electricity|Solar|PV,tw,2030,0.2811972615073094
calliope,diag-npi,ITA,Capacity|Electricity|Solar|PV,tw,2050,0.337118723131997
calliope,diag-npi,MNE,Capacity|Electricity|Solar|PV,tw,2030,0.006085385452142315
calliope,diag-npi,MNE,Capacity|Electricity|Solar|PV,tw,2050,0.006270731186950227
calliope,diag-npi,NLD,Capacity|Electricity|Solar|PV,tw,2030,9.308368057948048e-06
calliope,diag-npi,NLD,Capacity|Electricity|Solar|PV,tw,2050,1.9186792237227276e-05
calliope,diag-npi,NOR,Capacity|Electricity|Solar|PV,tw,2030,9.343315540182584e-06
calliope,diag-npi,NOR,Capacity|Electricity|Solar|PV,tw,2050,1.2391540052644244e-05
calliope,diag-npi,POL,Capacity|Electricity|Solar|PV,tw,2030,0.03443045314114929
calliope,diag-npi,POL,Capacity|Electricity|Solar|PV,tw,2050,0.19920536970860123
calliope,diag-npi,PRT,Capacity|Electricity|Solar|PV,tw,2030,0.044123513874100045
calliope,diag-npi,PRT,Capacity|Electricity|Solar|PV,tw,2050,0.013177360453925212
calliope,diag-npi,SWE,Capacity|Electricity|Solar|PV,tw,2030,7.967914034355067e-06
